clientid_cr,algo_cr,pubclientid_cr,siteId_cr,goalid_cr,ispDimId_cr,osVerDimId_cr,conversion_fraud
75694,38,2320,34,6384,280429,199452,1
75694,38,15240,178,6384,136127,199452,1
75694,21,2320,34,6384,172725,199452,1
75694,38,2320,34,6384,136127,199452,1
30431,21,1,3296,3370,136127,360833,1
75694,39,2308,4,6384,150208,199414,1
82122,21,2658,3,8628,265618,0,1
75694,18,85030,3290,6384,280429,199452,1
82122,21,2658,3,8628,150733,0,1
75694,39,2320,34,6384,132991,199414,1
75694,39,2320,34,6384,164681,0,1
75694,38,2320,34,6384,136127,0,1
75694,39,2320,34,6384,151530,199452,1
75694,39,2320,34,6384,266737,199452,1
75694,39,2320,34,6384,147570,199414,1
75694,38,2320,34,6384,266737,199452,1
75694,38,85030,3290,6384,172725,199522,1
75694,39,2320,34,6384,136127,199414,1
77339,38,65615,2612,7803,135885,359528,1
86530,6,2308,4,10679,177151,199414,1
75694,38,2320,34,6384,266737,199522,1
82122,38,2658,3,8628,265618,0,1
75694,38,2308,4,6384,147570,199452,1
75694,38,85030,3290,6384,280429,199452,1
75694,38,15240,178,6384,280429,0,1
75694,18,85030,3290,6384,266737,199452,1
75694,39,2320,34,6384,280429,199414,1
82122,38,2658,3,8628,150733,0,1
75694,39,2320,34,6384,280429,199452,1
75694,20,85030,3290,6384,266737,199452,1
82122,21,16892,549,8628,185265,199452,1
75694,38,2320,34,6384,151879,199452,1
82122,18,2658,3,8628,150733,0,1
75694,26,85030,3290,6384,266737,199452,1
75694,37,15240,178,6384,149033,199452,1
75694,38,15240,178,6384,143124,199414,1
75694,18,85030,3290,6384,156196,199522,1
75694,38,2320,34,6384,266906,199414,1
75694,38,2320,34,6384,266031,199452,1
75694,39,2320,34,6384,151879,199452,1
75694,38,2320,34,6384,280429,199414,1
75694,39,2320,34,6384,146142,199452,1
82122,6,2658,3,8628,265618,0,1
75694,38,2320,34,6384,266906,199522,1
75694,38,2320,34,6384,273302,199452,1
75694,39,2320,34,6384,136127,199522,1
75694,38,2320,34,6384,266737,199414,1
75694,18,85030,3290,6384,151879,199414,1
78510,38,7268,1214,7485,280429,359919,1
75694,38,2320,34,6384,266906,199452,1
75694,18,85030,3290,6384,280429,199414,1
75694,18,85030,3290,6384,266913,199452,1
75694,18,2320,34,6384,177700,199414,1
75694,38,15240,178,6384,280429,199452,1
82122,21,2658,3,8628,272343,0,1
75694,38,2320,34,6384,184911,199414,1
75694,39,85030,3290,6384,133765,199414,1
75694,38,2320,34,6384,162352,199452,1
75694,38,2320,34,6384,147570,199414,1
75694,38,2658,3,6384,266913,199452,1
75694,39,2320,34,6384,266913,199414,1
75694,39,2320,34,6384,151879,199414,1
75694,38,2658,3,6384,266737,199452,0
75694,18,85030,3290,6384,266913,199452,0
75694,18,85030,3290,6384,133765,199452,0
